,champion,sum_total,win_total,lose_total,winrate_total,sum_blue_side,win_blue_side,lose_blue_side,winrate_blue_side,sum_red_side,win_red_side,lose_red_side,winrate_red_side,matches_less_25_min,win_lose_less_25_min,winrate_less_25_min,matches_25_to_30_min,win_lose_25_to_30_min,winrate_25_30_min,matches_30_35_min,win_lose_30_35_min,winrate_30_35_min,matches_35_40_min,win_lose_35_40_min,winrate_35_40_min,matches_40_45_min,win_lose_40_45_min,winrate_40_45_min,matches_more_45_min,win_lose_more_45_min,winrate_more_45_min
37,Taliyah,9,6,3,67%,6,5,1,83%,3,1,2,33%,0,0-0,0%,3,1-Feb,67%,4,2-Feb,50%,1,Jan-00,100%,1,Jan-00,100%,0,0-0,0%
38,Varus,9,6,3,67%,4,4,0,100%,5,2,3,40%,2,Feb-00,100%,1,0-1,0%,2,Feb-00,100%,2,1-Jan,50%,2,1-Jan,50%,0,0-0,0%
39,Kled,9,5,4,56%,4,2,2,50%,5,3,2,60%,0,0-0,0%,4,3-Jan,25%,4,1-Mar,75%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
40,Morgana,9,5,4,56%,3,2,1,67%,6,3,3,50%,0,0-0,0%,1,Jan-00,100%,2,1-Jan,50%,4,3-Jan,25%,1,Jan-00,100%,1,Jan-00,100%
41,Twisted Fate,9,4,5,44%,5,4,1,80%,4,0,4,0%,1,0-1,0%,4,2-Feb,50%,1,0-1,0%,1,0-1,0%,2,Feb-00,100%,0,0-0,0%
42,Cassiopeia,8,4,4,50%,4,2,2,50%,4,2,2,50%,1,0-1,0%,2,1-Jan,50%,3,1-Feb,67%,1,0-1,0%,0,0-0,0%,1,Jan-00,100%
43,Corki,8,4,4,50%,2,1,1,50%,6,3,3,50%,0,0-0,0%,0,0-0,0%,4,2-Feb,50%,3,2-Jan,33%,1,Jan-00,100%,0,0-0,0%
44,Blitzcrank,8,3,5,38%,2,1,1,50%,6,2,4,33%,0,0-0,0%,1,0-1,0%,2,Feb-00,100%,2,0-2,0%,3,2-Jan,33%,0,0-0,0%
45,Garen,8,3,5,38%,2,1,1,50%,6,2,4,33%,0,0-0,0%,1,0-1,0%,1,Jan-00,100%,2,1-Jan,50%,3,2-Jan,33%,1,0-1,0%
46,Irelia,8,3,5,38%,5,3,2,60%,3,0,3,0%,0,0-0,0%,3,0-3,0%,2,1-Jan,50%,1,Jan-00,100%,1,0-1,0%,1,Jan-00,100%
47,Shen,8,3,5,38%,4,2,2,50%,4,1,3,25%,1,0-1,0%,3,2-Jan,33%,0,0-0,0%,2,1-Jan,50%,2,1-Jan,50%,0,0-0,0%
48,Skarner,8,1,7,13%,3,1,2,33%,5,0,5,0%,0,0-0,0%,1,0-1,0%,4,0-4,0%,2,1-Jan,50%,0,0-0,0%,1,0-1,0%
49,Kennen,7,5,2,71%,2,1,1,50%,5,4,1,80%,2,1-Jan,50%,1,Jan-00,100%,2,1-Jan,50%,0,0-0,0%,2,Feb-00,100%,0,0-0,0%
50,Tahm Kench,7,5,2,71%,4,3,1,75%,3,2,1,67%,2,Feb-00,100%,0,0-0,0%,1,Jan-00,100%,1,Jan-00,100%,3,2-Jan,33%,0,0-0,0%
51,Heimerdinger,7,4,3,57%,5,3,2,60%,2,1,1,50%,0,0-0,0%,1,0-1,0%,1,0-1,0%,2,Feb-00,100%,1,Jan-00,100%,2,1-Jan,50%
52,Sion,7,1,6,14%,3,0,3,0%,4,1,3,25%,0,0-0,0%,2,0-2,0%,1,0-1,0%,3,2-Jan,33%,1,0-1,0%,0,0-0,0%
53,Lissandra,6,3,3,50%,1,1,0,100%,5,2,3,40%,1,Jan-00,100%,1,Jan-00,100%,3,2-Jan,33%,0,0-0,0%,1,0-1,0%,0,0-0,0%
54,Neeko,6,3,3,50%,3,1,2,33%,3,2,1,67%,1,Jan-00,100%,2,1-Jan,50%,2,0-2,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
55,Veigar,6,3,3,50%,1,0,1,0%,5,3,2,60%,0,0-0,0%,2,Feb-00,100%,3,0-3,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
56,Mordekaiser,6,0,6,0%,2,0,2,0%,4,0,4,0%,0,0-0,0%,0,0-0,0%,2,0-2,0%,2,0-2,0%,2,0-2,0%,0,0-0,0%
57,Rumble,5,3,2,60%,5,3,2,60%,0,0,0,0%,0,0-0,0%,4,1-Mar,75%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%
58,Cho'Gath,5,2,3,40%,3,2,1,67%,2,0,2,0%,0,0-0,0%,1,0-1,0%,2,1-Jan,50%,1,Jan-00,100%,0,0-0,0%,1,0-1,0%
59,Zoe,5,2,3,40%,3,1,2,33%,2,1,1,50%,2,Feb-00,100%,1,0-1,0%,0,0-0,0%,0,0-0,0%,2,0-2,0%,0,0-0,0%
60,Azir,5,1,4,20%,3,0,3,0%,2,1,1,50%,2,0-2,0%,1,Jan-00,100%,1,0-1,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%
61,Ekko,5,1,4,20%,3,0,3,0%,2,1,1,50%,0,0-0,0%,2,1-Jan,50%,0,0-0,0%,3,0-3,0%,0,0-0,0%,0,0-0,0%
62,Karthus,5,1,4,20%,4,1,3,25%,1,0,1,0%,1,0-1,0%,1,0-1,0%,0,0-0,0%,1,0-1,0%,2,1-Jan,50%,0,0-0,0%
63,Ashe,4,2,2,50%,1,1,0,100%,3,1,2,33%,0,0-0,0%,1,0-1,0%,3,1-Feb,67%,0,0-0,0%,0,0-0,0%,0,0-0,0%
64,Fiora,4,2,2,50%,2,1,1,50%,2,1,1,50%,0,0-0,0%,1,Jan-00,100%,1,0-1,0%,0,0-0,0%,2,1-Jan,50%,0,0-0,0%
65,Karma,4,2,2,50%,4,2,2,50%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,3,2-Jan,33%,0,0-0,0%,0,0-0,0%
66,Quinn,4,2,2,50%,2,1,1,50%,2,1,1,50%,0,0-0,0%,1,0-1,0%,2,Feb-00,100%,1,0-1,0%,0,0-0,0%,0,0-0,0%
67,Sivir,4,2,2,50%,3,1,2,33%,1,1,0,100%,0,0-0,0%,0,0-0,0%,1,0-1,0%,1,Jan-00,100%,2,1-Jan,50%,0,0-0,0%
68,Caitlyn,4,0,4,0%,2,0,2,0%,2,0,2,0%,0,0-0,0%,0,0-0,0%,4,0-4,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
69,Draven,3,2,1,67%,1,0,1,0%,2,2,0,100%,1,Jan-00,100%,1,Jan-00,100%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
70,Jinx,3,1,2,33%,2,1,1,50%,1,0,1,0%,0,0-0,0%,2,0-2,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%,0,0-0,0%
71,Poppy,3,1,2,33%,0,0,0,0%,3,1,2,33%,0,0-0,0%,1,0-1,0%,0,0-0,0%,1,Jan-00,100%,1,0-1,0%,0,0-0,0%
72,Fiddlesticks,2,2,0,100%,1,1,0,100%,1,1,0,100%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
73,Vayne,2,2,0,100%,2,2,0,100%,0,0,0,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%
74,Hecarim,2,1,1,50%,1,0,1,0%,1,1,0,100%,0,0-0,0%,1,Jan-00,100%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
75,Jhin,2,1,1,50%,0,0,0,0%,2,1,1,50%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%,1,0-1,0%
76,Kha'Zix,2,1,1,50%,2,1,1,50%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%
77,Lulu,2,1,1,50%,1,1,0,100%,1,0,1,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%
78,Sejuani,2,0,2,0%,2,0,2,0%,0,0,0,0%,0,0-0,0%,2,0-2,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
79,Sylas,2,0,2,0%,2,0,2,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%
80,Jax,1,1,0,100%,0,0,0,0%,1,1,0,100%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
81,Kog'Maw,1,1,0,100%,1,1,0,100%,0,0,0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%
82,Malphite,1,1,0,100%,0,0,0,0%,1,1,0,100%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
83,Pantheon,1,1,0,100%,1,1,0,100%,0,0,0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%
84,Urgot,1,1,0,100%,0,0,0,0%,1,1,0,100%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%
85,Yorick,1,1,0,100%,1,1,0,100%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,Jan-00,100%,0,0-0,0%,0,0-0,0%,0,0-0,0%
86,Anivia,1,0,1,0%,1,0,1,0%,0,0,0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%
87,Bard,1,0,1,0%,0,0,0,0%,1,0,1,0%,0,0-0,0%,0,0-0,0%,0,0-0,0%,1,0-1,0%,0,0-0,0%,0,0-0,0%
